id,均分,提交次数,测试用例个数,答案代码行数,正理想解,负理想解,综合得分指数,排序
2203,0.11088678866528166,0.06785191100997169,0.02817677837870042,0.5542934547518845,0.06197516431156089,0.459386278791195,0.881128217033598,1.0
2179,0.017251137465851826,0.04311423512091951,0.009392259459566807,0.33759436750320543,0.19582745967736476,0.27874216464286067,0.5873577876842235,2.0
2193,0.10644692857776158,0.06785191100997169,0.02817677837870042,0.2623199477220853,0.25049158208987693,0.21731423541151415,0.46453940349056894,3.0
2209,0.1334524792857959,0.10177786651495754,0.046961297297834034,0.2395095174853822,0.2658347596642419,0.20051255280587063,0.42996399345331526,4.0
2061,0.031706283597885694,0.045941398079668336,0.009392259459566807,0.20529387213032763,0.29968110325120834,0.16889508962203023,0.3604431727237165,5.0
2433,0.0862786998422254,0.12156800722619929,0.018784518919133613,0.1619540546805918,0.3297674111767969,0.13760146354744335,0.2944172600895423,6.0
2176,0.13827886212195015,0.13499703128025617,0.009392259459566807,0.15739196863325117,0.3331601397721727,0.13628163049985473,0.29030571868558613,7.0
2211,0.05947275871985425,0.10531182021339357,0.046961297297834034,0.1596730116569215,0.3316439845958054,0.1347785240975908,0.2889623068902701,8.0
2469,0.08334018626454884,0.054422886955914795,0.046961297297834034,0.14598675351489965,0.345422147623422,0.12131488471926719,0.2599212753921677,9.0
2701,0.08382940187149786,0.1399445664580666,0.037569037838267226,0.12545736630186688,0.35865137637603317,0.11136183387160757,0.23693341260117604,10.0
2738,0.058182057802994055,0.04382102586060672,0.046961297297834034,0.1300194523492075,0.35932178212030486,0.10762906211343824,0.23049334516153483,11.0
2359,0.06302670212892099,0.04876856103841715,0.037569037838267226,0.11177110815984503,0.374102139651979,0.09239967575892868,0.1980692737016264,12.0
2747,0.09315957423949868,0.07774698136559256,0.037569037838267226,0.1003658930414935,0.38166935687824316,0.08528500512268361,0.18264098606388934,13.0
2564,0.0698844178414203,0.05159572399716598,0.046961297297834034,0.09808485001782319,0.38485857149535335,0.08200366446402299,0.17564852786927593,14.0
2718,0.11217026174879544,0.21274401264584875,0.02817677837870042,0.061588161639098284,0.41065891946941924,0.08564357975818553,0.17256326512857093,15.0
2346,0.11823451815459304,0.07562660914653095,0.02817677837870042,0.08896067792314197,0.3912764397662225,0.07651887294678855,0.16357340671716458,16.0
2857,0.17368077095004325,0.20143536081085348,0.09392259459566807,0.03877773140239522,0.42850451268416345,0.0818717029545043,0.1604144167495203,17.0
2386,0.07383148164900293,0.07986735358465417,0.037569037838267226,0.08439859187580136,0.3948090030025154,0.07235538591150976,0.1548820664171509,18.0
2737,0.041153754105607794,0.045941398079668336,0.046961297297834034,0.08211754885213104,0.3984799451840198,0.06842644316763061,0.14655280988808242,19.0
2338,0.05624756440896075,0.04523460733998113,0.037569037838267226,0.07983650582846075,0.4004779276295509,0.066153281815835,0.14176780394620717,20.0
2841,0.013658049844925982,0.03745990920342187,0.046961297297834034,0.07983650582846075,0.40110120922517717,0.06612680937928768,0.1415300597271496,21.0
2470,0.13794232137018791,0.05795684065435082,0.046961297297834034,0.07071233373377951,0.4066407973049937,0.06328010409070813,0.13466118213248499,22.0
2368,0.18033497400484677,0.14983963681368748,0.037569037838267226,0.047901903497076445,0.42228482639914156,0.06548330235813048,0.1342508837651361,23.0
2372,0.08252624433464939,0.06290437583216126,0.037569037838267226,0.07299337675744982,0.40495198801024584,0.06225649426132985,0.13325206331579792,24.0
2423,0.06731055677997276,0.04735497955904274,0.046961297297834034,0.07299337675744982,0.4056734547941035,0.06171129642916508,0.1320353226493813,25.0
2822,0.07702958438990122,0.07704019062590536,0.09392259459566807,0.05930711861542798,0.4148061971347126,0.061093979568252146,0.12837561858352542,26.0
2392,0.022830711855175028,0.03745990920342187,0.037569037838267226,0.07299337675744982,0.4068128057402322,0.059909709358229236,0.12836258680511795,27.0
2365,0.07543773887777132,0.056543259174976414,0.037569037838267226,0.07071233373377951,0.40719742313958074,0.05982651637959912,0.12810160532925347,28.0
2860,0.02495324253812741,0.0409938629018579,0.09392259459566807,0.061588161639098284,0.41516580079657484,0.05923951081918347,0.12487109517686883,29.0
2815,0.04497990359464504,0.14630568311525147,0.09392259459566807,0.03649668837872491,0.4316008224618338,0.06113955145942882,0.12408066132855312,30.0
2393,0.05758021541373925,0.05088893325747877,0.037569037838267226,0.0684312907101092,0.4094923594147668,0.057220315254760776,0.12260287401724763,31.0
2903,0.03892176108068667,0.04947535177810436,0.02817677837870042,0.0684312907101092,0.4099533408058643,0.056196938056560834,0.12055541014305866,32.0
2795,0.06090497359060937,0.1371174034993178,0.09392259459566807,0.03649668837872491,0.4316949814211973,0.05915136250728076,0.12050891941837463,33.0
2928,0.05788556069250407,0.07279944618778213,0.09392259459566807,0.05474503256808736,0.41888493430827417,0.057213823628356295,0.1201721757820077,34.0
2819,0.06683949807777746,0.16044149790899556,0.09392259459566807,0.01368625814202184,0.4501038352789998,0.05962393573015652,0.11697211555123506,35.0
2692,0.03682595433876949,0.04311423512091951,0.02817677837870042,0.0661502476864389,0.4121927761752646,0.05406214896920893,0.11594976493268626,36.0
2813,0.047141923543583195,0.11662047204838885,0.09392259459566807,0.04105877442606552,0.4285801560413592,0.05614002031799608,0.11581944192967894,37.0
2914,0.05120187198397173,0.0819877258037158,0.09392259459566807,0.047901903497076445,0.4241673849995818,0.053937742739362346,0.1128156541521419,38.0
2285,0.028942395949349956,0.03321916476529864,0.02817677837870042,0.06386920466276859,0.414701717048568,0.051895552959730584,0.11122129574141658,39.0
