id,均分,提交次数,测试用例个数,答案代码行数,正理想解,负理想解,综合得分指数,排序
2125,0.06263161423833387,0.04894311337029067,0.059028133610095526,0.4536574713356635,0.14963780781225577,0.2851405446283182,0.6558296728153952,1.0
2124,0.16373900436738215,0.08308947153560975,0.07870417814679403,0.3150399106497663,0.15269052903691196,0.2045569443913731,0.572591717523893,2.0
2167,0.01246025781559683,0.03869920592069495,0.01967604453669851,0.28605623886998777,0.2010943597197726,0.17867197288754857,0.47047870636888606,3.0
2331,0.11998754688639014,0.12406510133399264,0.1967604453669851,0.1877637867472607,0.18578494493741385,0.16366428480652992,0.468349250408861,4.0
2174,0.09497181121865846,0.08878053122982958,0.1967604453669851,0.18272314817686444,0.1965763558821466,0.1573803582607765,0.4446316511945819,5.0
2232,0.165722423312839,0.19804887735885063,0.2164364899036836,0.13105660283030277,0.20748067153397282,0.1634916263998454,0.44071114557727015,6.0
2337,0.17556741147282265,0.2469919907291413,0.1967604453669851,0.12097532568951025,0.2105480088085498,0.16466428675405892,0.4388563186799477,7.0
2234,0.24394935038852977,0.24016271909607748,0.11805626722019105,0.14617851854149155,0.2026075345288083,0.15264773002157792,0.42968463877592367,8.0
2254,0.12780664445140683,0.2902440444052121,0.1967604453669851,0.09829245212272708,0.22489264184171498,0.16876338940238053,0.42870774485285323,9.0
2150,0.17137070373150073,0.12975616102821247,0.1967604453669851,0.14617851854149155,0.20724522356171474,0.14968531264684481,0.4193681892192647,10.0
2087,0.1609329024234356,0.24585377879029732,0.2164364899036836,0.07812989784114203,0.2372365699039522,0.1611168148668428,0.4044569998057036,11.0
2264,0.2062330793580447,0.2242277519522619,0.1967604453669851,0.08947133462453362,0.23087119981774354,0.15276644697994213,0.39820504649405464,12.0
2305,0.14926825905642366,0.12178867745630469,0.1770844008302866,0.13231676247290183,0.2180088730819977,0.1339914224068409,0.38065713047416905,13.0
2354,0.10221609998888317,0.21170742062497824,0.13773231175688957,0.12475580461730745,0.21700783973388987,0.1325316603117227,0.3791607537758342,14.0
2103,0.18875065544590597,0.09105695510751753,0.07870417814679403,0.1802028288916663,0.21052181003689394,0.12787790739194357,0.377890112803759,15.0
2316,0.18909803508252881,0.16731715501006345,0.1967604453669851,0.09577213283752894,0.23199511712381413,0.14042204470600284,0.3770557834017631,16.0
2348,0.1333042337124078,0.11154477000670897,0.13773231175688957,0.154999636039685,0.21097495568624977,0.12721605773016226,0.37616628675322633,17.0
2084,0.21850881968050562,0.22878059970763778,0.1967604453669851,0.05166654534656167,0.254038672163185,0.14805358249743825,0.3682079940147056,18.0
2085,0.17556280644911432,0.1798374863373471,0.1770844008302866,0.08947133462453362,0.23558645091285108,0.13199714586401762,0.35909422243382305,19.0
2309,0.11872415007360952,0.14113828041665216,0.15740835629358807,0.12097532568951025,0.2240930180086848,0.12296950346549249,0.3543151330289689,20.0
2090,0.11323331065602223,0.07056914020832608,0.07870417814679403,0.17642234996386913,0.21839241699148418,0.11915108936439432,0.352994761033178,21.0
2148,0.10508690162920183,0.13772364460012027,0.1967604453669851,0.09451197319492989,0.2382639283466004,0.12982369145038228,0.3526977938621952,22.0
2349,0.0020173750749061478,0.051219537247978605,0.01967604453669851,0.1953247446028551,0.23377778067977972,0.12186731173988033,0.34266552340353207,23.0
2233,0.14518157595667558,0.2026017251142265,0.11805626722019105,0.10585340997832147,0.23034888471531098,0.11984165102641306,0.3422184176753419,24.0
2168,0.11072638195223491,0.07512198796370195,0.15740835629358807,0.12349564497470839,0.23376102316803868,0.11560618982038151,0.33090165740370514,25.0
2088,0.13978081528628525,0.11837404163977279,0.1967604453669851,0.06930878034294859,0.2548912005182168,0.12253198175775552,0.32465409522237554,26.0
2089,0.10622523239247174,0.06601629245295021,0.09838022268349254,0.14995899746928876,0.22920579153757065,0.10777582280243855,0.31982701196776403,27.0
2104,0.13798148947001967,0.12065046551746073,0.1770844008302866,0.08065021712634017,0.24869620133407572,0.11599833420016085,0.3180698444802204,28.0
2350,0.13055298699035467,0.08764231929098562,0.1967604453669851,0.07182909962814671,0.25826288829201394,0.119145311770042,0.31569348983528006,29.0
2091,0.17236452639998082,0.1138211938843969,0.1967604453669851,0.05040638570396261,0.266149695806266,0.12068258748428963,0.3119765146220826,30.0
2115,0.176311512397774,0.13772364460012027,0.11805626722019105,0.1045932503357224,0.2373536729281581,0.10626620326876188,0.30925511191286087,31.0
2139,0.04422706894986548,0.04439026561491479,0.01967604453669851,0.17138171139347286,0.24369921733417035,0.10725570221785095,0.3056110521395688,32.0
2221,0.12365836750816356,0.09219516704636149,0.11805626722019105,0.12349564497470839,0.23480848832878579,0.10321860632142257,0.30535601422197695,33.0
2303,0.16817409916474213,0.1286179490893685,0.15740835629358807,0.07308925927074578,0.2527970457475632,0.10865671712192355,0.30061028071564766,34.0
2347,0.14672057143644437,0.1502439759274039,0.1770844008302866,0.04410558749096728,0.2666655497663919,0.11410507432003394,0.29966879560051046,35.0
2147,0.1032254906712286,0.09333337898520547,0.13773231175688957,0.10207293105052427,0.24471941556607701,0.10002989739672842,0.2901525648798625,36.0
2146,0.04618727145179859,0.06487808051410623,0.03935208907339702,0.14995899746928876,0.24445731530872264,0.09536410659664979,0.28063006170106936,37.0
2220,0.12212324114163971,0.07967483571907784,0.15740835629358807,0.06930878034294859,0.26327950212531526,0.09761405634278844,0.2704787992258269,38.0
2716,0.13314675494380543,0.1912196057257868,0.09838022268349254,0.042845427848368214,0.2718708761925672,0.092778574741632,0.2544322348599226,39.0
