2422,2528,2529,2533,2534,2535,2536,2538,2539,2542,2773
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,1,1
0,1,1,1,1,1,0,0,0,1,1
1,1,1,1,1,1,0,1,0,1,1
1,1,1,1,1,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,1,1
0,1,1,1,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,1,1
0,1,1,1,1,1,0,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1
0,0,0,1,1,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,1,1,1,0
0,1,1,1,1,1,0,1,1,1,0
