id,均分,提交次数,测试用例个数,答案代码行数,正理想解,负理想解,综合得分指数,排序
2125,0.024938234139923493,0.01400983508315022,0.01805787796286538,0.22801119435771125,0.05966865608777972,0.18529141121370687,0.7564147628423777,1.0
2966,0.017298355072859123,0.017267936265278176,0.01203858530857692,0.18747587091634035,0.06807504809482876,0.1522297889324358,0.6909961260342009,2.0
2124,0.052720797478426604,0.023784138629534095,0.02407717061715384,0.15834110719285502,0.07884835270950098,0.12910979253718907,0.6208450858418302,3.0
2203,0.044106906522773555,0.03127777134842839,0.01805787796286538,0.15390755619145507,0.08028475844541244,0.12543476716047128,0.609736809333201,4.0
2510,0.03045608097939506,0.0234583285113213,0.030096463271442303,0.1418736320447981,0.08896292039038267,0.11564647236118197,0.5652060778148105,5.0
2266,0.04911056935380817,0.02801967016630044,0.03611575592573076,0.13997353875848384,0.08857324571813482,0.11464718893460865,0.5641518734595469,6.0
2167,0.017976989584620785,0.01400983508315022,0.00601929265428846,0.14377372533111235,0.09214480012193035,0.11662391635633258,0.558627357219373,7.0
2167,0.011152012521363086,0.011077544019235058,0.00601929265428846,0.14377372533111235,0.09299665435636649,0.11658731033336202,0.5562797254358641,8.0
2188,0.04641142663352933,0.02248089815668291,0.01203858530857692,0.13807344547216957,0.09274712407197716,0.11238705229530249,0.5478709315315682,9.0
2963,0.05448095888663918,0.03453587253055635,0.02407717061715384,0.11780578375148414,0.10312488915624549,0.09666829212034385,0.48384179831702245,10.0
2954,0.04588371535476782,0.04040045465838668,0.02407717061715384,0.11400559717885562,0.10489683973792885,0.09369301361863071,0.4717915444068984,11.0
2970,0.053601736001328094,0.028997100520938825,0.01805787796286538,0.11083877503499852,0.10944582239026412,0.09071466321467679,0.4532096479508017,12.0
2632,0.04045939470968207,0.02867129040272603,0.030096463271442303,0.10767195289114141,0.11118878726755892,0.08827135329671575,0.442551344078046,13.0
2331,0.04069865313204352,0.03551330288519474,0.060192926542884606,0.0943712998869416,0.11896488801412308,0.08012906903097539,0.4024686144181898,14.0
2174,0.05592910363871815,0.04072626477659948,0.060192926542884606,0.09183784217185592,0.1199551749999908,0.07877606489346099,0.3963949751216576,15.0
2349,0.035871554446246824,0.016942126147065383,0.00601929265428846,0.09817148645957012,0.12156181780966825,0.0797583857583077,0.3961767589380427,16.0
2349,0.008282488831655608,0.01466145531957581,0.00601929265428846,0.09817148645957012,0.12239483222820619,0.07945899035864082,0.3936462007027577,17.0
2390,0.051564685326935214,0.06613945399719755,0.060192926542884606,0.08740429117045598,0.12005221496477084,0.07736996601415483,0.39190108036752913,18.0
2174,0.03382476132491703,0.025413189220598074,0.060192926542884606,0.09183784217185592,0.1225184856130827,0.07767159809452995,0.38798923830799276,19.0
2253,0.05735071700625468,0.03030034099379001,0.01805787796286538,0.09183784217185592,0.1229447943769856,0.07558809638736133,0.3807333691477969,20.0
2179,0.00759183596148014,0.019874417210980544,0.00601929265428846,0.09373793545817018,0.124662326126807,0.07591055448320577,0.3784686855587607,21.0
2103,0.05959356691103394,0.026064809457023663,0.02407717061715384,0.09057111331431307,0.1241979999960504,0.07467776804988115,0.375499583401402,22.0
2090,0.03884270575140298,0.02020022732919334,0.02407717061715384,0.08867102002799881,0.12668680135949598,0.07250434599700563,0.3639938167896651,23.0
2782,0.040038240443239614,0.027368049929874846,0.030096463271442303,0.08423746902659887,0.12852795046440996,0.06943463338243357,0.3507462472613139,24.0
2406,0.04142617393669776,0.05571353021438808,0.03611575592573076,0.08043728245397036,0.12728031588201383,0.0687037024150437,0.35055767818224803,25.0
2968,0.04580481424529783,0.025087379102385277,0.030096463271442303,0.08360410459782745,0.1292946968503587,0.06898526580805049,0.34791849303954253,26.0
2198,0.053941350409113464,0.046265036786217004,0.030096463271442303,0.08107064688274178,0.12812263385172792,0.06833244923458612,0.34782734129899673,27.0
2139,0.019880983185857796,0.012706594610299037,0.00601929265428846,0.08613756231291314,0.13108040281682803,0.06973757303875885,0.34726758270339725,28.0
2236,0.04388585340467795,0.028997100520938825,0.01805787796286538,0.08233737574028462,0.13025000449390872,0.06758091389290671,0.3416094634953213,29.0
2234,0.07476121426587909,0.06874593494289992,0.03611575592573076,0.07347027373748473,0.13107618201838395,0.06599244870934488,0.3348703873653054,30.0
2387,0.048672107946335454,0.10295599735524347,0.02407717061715384,0.06840335830731337,0.1328548284433168,0.06663193122526667,0.3340168106192379,31.0
2348,0.04435784851559197,0.031929391584853986,0.04213504858001922,0.07790382473888467,0.13213071501349102,0.06552567042027094,0.3315130461202819,32.0
2310,0.05675854890636877,0.0850364408535397,0.030096463271442303,0.06967008716485622,0.13283259863445934,0.06466300010999375,0.32741489188153305,33.0
2712,0.021060491086285153,0.01922279697455495,0.030096463271442303,0.07917055359642751,0.13376335444437257,0.06484091676745472,0.3264829923939386,34.0
2150,0.0548178565627667,0.03714235347625872,0.060192926542884606,0.07347027373748473,0.13438727496773603,0.06460046064608858,0.32464543830710585,35.0
2301,0.02615205631062386,0.016616316028852586,0.03611575592573076,0.07790382473888467,0.13481034040138382,0.06423582543157487,0.3227182255069517,36.0
2960,0.06622456607505799,0.0465908469044298,0.02407717061715384,0.07410363816625615,0.13361377660019735,0.06306458909522726,0.3206483279044979,37.0
2396,0.05323446793186963,0.03583911300340754,0.01805787796286538,0.07600373145257042,0.13394051598490317,0.06311949252108452,0.32030594639483445,38.0
2397,0.044277891820017214,0.08862035215388046,0.060192926542884606,0.063336442877142,0.13694809606788866,0.0633965626807853,0.3164374986423486,39.0
2757,0.016907411442794968,0.025087379102385277,0.03611575592573076,0.075370367023799,0.13553745041513865,0.0622976753949551,0.3148969382452133,40.0
2237,0.03499677613611966,0.022155088038470116,0.02407717061715384,0.07600373145257042,0.13574822758530827,0.0622868790892823,0.3145244302144443,41.0
2952,0.02022677928936371,0.02085184756561893,0.02407717061715384,0.07600373145257042,0.136131179139802,0.062014818613136985,0.31297537833926375,42.0
2089,0.03691700696727088,0.018896986856342158,0.030096463271442303,0.075370367023799,0.1364295329175809,0.06205510038232228,0.31264435614297276,43.0
2710,0.02336053149211845,0.043984365958727435,0.030096463271442303,0.07283690930871331,0.1349921990601513,0.06104435171315014,0.31139270443368705,44.0
2273,0.04064000024724906,0.054410289741536895,0.030096463271442303,0.07093681602239905,0.1349896531029317,0.06087420530245959,0.3107985607863629,45.0
2190,0.042467682147766625,0.05864582127830324,0.03611575592573076,0.06967008716485622,0.13525345274886985,0.06083477811800804,0.31024186331360243,46.0
2232,0.05326580672462127,0.05669096056902647,0.06621221919717306,0.06586990059222769,0.13784706718986228,0.06151528003945652,0.30856017143848063,47.0
2146,0.0204196129546288,0.01857117673812936,0.01203858530857692,0.075370367023799,0.1375818264828446,0.06110118570285272,0.3075310014212239,48.0
2193,0.04237549543841242,0.03127777134842839,0.01805787796286538,0.07283690930871331,0.13702801398811784,0.06004732396290529,0.30469222880555535,49.0
2742,0.026852872255387412,0.0234583285113213,0.030096463271442303,0.07283690930871331,0.13774883769389135,0.05995218732902791,0.3032467197480525,50.0
2397,0.040980655640988,0.06874593494289992,0.060192926542884606,0.063336442877142,0.1386952802325667,0.06006951027865417,0.3022140396403007,51.0
2313,0.04851588826814602,0.07428470695251745,0.030096463271442303,0.06460317173468486,0.13781219887672425,0.05901599667191696,0.2998350744791166,52.0
2638,0.038738569811050685,0.022155088038470116,0.030096463271442303,0.07157018045117047,0.13875480280805655,0.05914314378041223,0.29885678350873,53.0
2512,0.020082007510274114,0.018245366619916565,0.030096463271442303,0.07220354487994189,0.13908585193451836,0.05922067415748703,0.2986319982732756,54.0
2399,0.05908986391633169,0.04235531536766345,0.02407717061715384,0.06903672273608479,0.13803803772102294,0.05852872808469341,0.297754952851706,55.0
2337,0.05597103931713951,0.07070079565217668,0.060192926542884606,0.06080298516205633,0.14040442104062112,0.05906874092351074,0.29612375089402826,56.0
2199,0.04778257996557075,0.05343285938689851,0.060192926542884606,0.06396980730591344,0.13974492879653963,0.058779542628995554,0.29608210114813605,57.0
2397,0.03541145005329596,0.05897163139651604,0.060192926542884606,0.063336442877142,0.13974078147753796,0.05864329014635619,0.2956048319117822,58.0
2305,0.048744486769150906,0.03486168264876915,0.05417363388859614,0.06650326502099911,0.14010794713186228,0.058303182434193905,0.29385036293935957,59.0
2292,0.011089571241848178,0.015313075556001402,0.01203858530857692,0.07220354487994189,0.1405502997741479,0.05839228149328064,0.2935132394546888,60.0
2209,0.052906843028981264,0.0469166570226426,0.030096463271442303,0.06650326502099911,0.139194543938658,0.057085354641584325,0.2908364792039412,61.0
2354,0.03581536667378709,0.06060068198758002,0.04213504858001922,0.06270307844837059,0.1403536063860513,0.05625549800421592,0.28612865196999876,62.0
2209,0.03754723965634541,0.032906821939492376,0.030096463271442303,0.06650326502099911,0.1410821930537699,0.05556632957429509,0.2825667278436236,63.0
2959,0.039391862400956754,0.049197327850132165,0.03611575592573076,0.06270307844837059,0.14174449749231452,0.054454083402911774,0.27754575570549755,64.0
2986,0.019084195863625836,0.022806708274895705,0.030096463271442303,0.06586990059222769,0.14316620646355693,0.054257450205362795,0.2748275010241187,65.0
2549,0.02846697933084788,0.022155088038470116,0.030096463271442303,0.06523653616345627,0.14361258653456058,0.05388321856900243,0.2728322180855796,66.0
2309,0.04035149352355259,0.04040045465838668,0.04815434123430768,0.06080298516205633,0.14394084127331608,0.05345208107451986,0.27079026156940555,67.0
2168,0.04297693002368925,0.02248089815668291,0.04815434123430768,0.06206971401959917,0.14530093417957543,0.053464894143210484,0.26898433495513185,68.0
2168,0.03815384507159326,0.021503467802044523,0.04815434123430768,0.06206971401959917,0.14547928430890794,0.053301353125527466,0.2681415746194498,69.0
2221,0.0417073311950272,0.02639061957523646,0.03611575592573076,0.06206971401959917,0.14507453556841987,0.052331574184423885,0.2650960208371667,70.0
2254,0.04284720600313183,0.08308158014426292,0.060192926542884606,0.04940242544417077,0.14849404284490933,0.05348858547865487,0.2648177515195481,71.0
2733,0.03746293609808074,0.024435758865959684,0.030096463271442303,0.06206971401959917,0.1455866120541579,0.05165894754190121,0.26190170084281755,72.0
2699,0.05678152944074405,0.04854570761370657,0.03611575592573076,0.05763616301819923,0.14562611630297684,0.05117443680976182,0.2600319765384306,73.0
2172,0.05143688679091129,0.04724246714085539,0.030096463271442303,0.05826952744697065,0.14551799483031239,0.05081569609958988,0.25882310804075287,74.0
2314,0.05953772783619266,0.033884252294130765,0.01805787796286538,0.05953625630451349,0.14664148444001596,0.050296734208537704,0.25539346579698075,75.0
2695,0.03802965855712946,0.025087379102385277,0.030096463271442303,0.06016962073328491,0.14693033467386513,0.05020385969294753,0.25466844985569537,76.0
2908,0.0677641742152425,0.15866952756963154,0.030096463271442303,0.012667288575428402,0.17593431637369678,0.059983450255044056,0.25425575662319166,77.0
2152,0.03433633487879365,0.026064809457023663,0.01805787796286538,0.06080298516205633,0.1468770972022978,0.049994056854410086,0.25394302732643864,78.0
2412,0.04261997483407872,0.03486168264876915,0.01805787796286538,0.05953625630451349,0.14661771204601118,0.04973404391850266,0.25329054825204095,79.0
2572,0.04428279863075616,0.05115218855940894,0.030096463271442303,0.05636943416065639,0.1466019468960994,0.04958637579026038,0.2527488645159202,80.0
2306,0.06223819612813654,0.03225520170306678,0.01805787796286538,0.05890289187574207,0.14732202545872425,0.04981833832228596,0.2527049122097885,81.0
2631,0.05123217782370557,0.0387714040673227,0.030096463271442303,0.05763616301819923,0.14700599056720823,0.04952463587278211,0.2519944945471601,82.0
2196,0.05548725577716009,0.046265036786217004,0.060192926542884606,0.05193588315925645,0.14987500700200435,0.04986314485896997,0.24964256650215075,83.0
2698,0.031218298209473617,0.026064809457023663,0.03611575592573076,0.05826952744697065,0.14810401662786055,0.04908276356254109,0.24891508201080847,84.0
2152,0.012392634545899464,0.013358214846724628,0.01805787796286538,0.06080298516205633,0.14893466017043178,0.04928773242257542,0.24864866061713642,85.0
2180,0.061449520483024496,0.10197856700060508,0.030096463271442303,0.041802052298913726,0.15387623082140953,0.05080413762303171,0.2482120684516066,86.0
2233,0.04762153688469412,0.05799420104187765,0.03611575592573076,0.05320261201679929,0.1481219765445625,0.04879125239373121,0.24778046988920596,87.0
2962,0.05198068994232264,0.05343285938689851,0.030096463271442303,0.053835976445570706,0.1482763360895751,0.04827876669239899,0.24562459080979196,88.0
