,user_id,mean_score_of_committed,mean_score_of_submitted,commit_ratio,example_fronted_ratio,submit_times_commit_ratio,AHP_score
22,58547,100.0,92.2727272727273,1.0,0,1.29411764705882,5.525291316374
22,58547,100.0,90.083,1.0,0,1.42857142857143,5.5027613558513
22,58547,100.0,92.30769230769229,1.0,0,1.08333333333333,5.52741835757938
22,58547,100.0,85.4166666666667,1.0,0,1.5,5.44573177519994
22,58547,100.0,88.1578947368421,1.0,0,1.72727272727273,5.478290454183661
22,58547,100.0,91.4944827586207,1.0,0,1.38095238095238,5.517331994225731
22,58547,100.0,87.69230769230771,1.0,0,1.1818181818181799,5.47792430018404
22,58547,100.0,92.26190476190479,1.0,0,1.2,5.52602207231366
